STATIONS_ID;MESS_DATUM;  QN;RWS_DAU_10;RWS_10;RWS_IND_10;eor
       4931;202503230000;    3;   0;   0.00;   0;eor
       4931;202503230010;    3;   0;   0.00;   0;eor
       4931;202503230020;    3;   0;   0.00;   0;eor
       4931;202503230030;    3;   0;   0.00;   0;eor
       4931;202503230040;    3;   0;   0.00;   0;eor
       4931;202503230050;    3;   0;   0.00;   0;eor
       4931;202503230100;    3;   0;   0.00;   0;eor
       4931;202503230110;    3;   0;   0.00;   0;eor
       4931;202503230120;    3;   0;   0.00;   0;eor
       4931;202503230130;    3;   0;   0.00;   0;eor
       4931;202503230140;    3;   0;   0.00;   0;eor
       4931;202503230150;    3;   0;   0.00;   0;eor
       4931;202503230200;    3;   0;   0.00;   0;eor
       4931;202503230210;    3;   0;   0.00;   0;eor
       4931;202503230220;    3;   0;   0.00;   0;eor
       4931;202503230230;    3;   0;   0.00;   0;eor
       4931;202503230240;    3;   0;   0.00;   0;eor
       4931;202503230250;    3;   0;   0.00;   0;eor
       4931;202503230300;    3;   0;   0.00;   0;eor
       4931;202503230310;    3;   0;   0.00;   0;eor
       4931;202503230320;    3;   0;   0.00;   0;eor
       4931;202503230330;    3;   0;   0.00;   0;eor
       4931;202503230340;    3;   0;   0.00;   0;eor
       4931;202503230350;    3;   0;   0.00;   0;eor
       4931;202503230400;    3;   0;   0.00;   0;eor
       4931;202503230410;    3;   0;   0.00;   0;eor
       4931;202503230420;    3;   0;   0.00;   0;eor
       4931;202503230430;    3;   0;   0.00;   0;eor
       4931;202503230440;    3;   0;   0.00;   0;eor
       4931;202503230450;    3;   0;   0.00;   0;eor
       4931;202503230500;    3;   0;   0.00;   0;eor
       4931;202503230510;    3;   0;   0.00;   0;eor
       4931;202503230520;    3;   0;   0.00;   0;eor
       4931;202503230530;    3;   0;   0.00;   0;eor
       4931;202503230540;    3;   0;   0.00;   0;eor
       4931;202503230550;    3;   0;   0.00;   0;eor
       4931;202503230600;    3;   0;   0.00;   0;eor
       4931;202503230610;    3;   0;   0.00;   0;eor
       4931;202503230620;    3;   0;   0.00;   0;eor
       4931;202503230630;    3;   0;   0.00;   0;eor
       4931;202503230640;    3;   0;   0.00;   0;eor
       4931;202503230650;    3;   0;   0.00;   0;eor
       4931;202503230700;    3;   0;   0.00;   0;eor
       4931;202503230710;    3;   0;   0.00;   0;eor
       4931;202503230720;    3;   0;   0.00;   0;eor
       4931;202503230730;    3;   0;   0.00;   0;eor
       4931;202503230740;    3;   0;   0.00;   0;eor
       4931;202503230750;    3;   0;   0.00;   0;eor
       4931;202503230800;    3;   0;   0.00;   0;eor
       4931;202503230810;    3;   0;   0.00;   0;eor
       4931;202503230820;    3;   0;   0.00;   0;eor
       4931;202503230830;    3;   0;   0.00;   0;eor
       4931;202503230840;    3;   0;   0.00;   0;eor
       4931;202503230850;    3;   0;   0.00;   0;eor
       4931;202503230900;    3;   0;   0.00;   0;eor
       4931;202503230910;    3;   0;   0.00;   0;eor
       4931;202503230920;    3;   0;   0.00;   0;eor
       4931;202503230930;    3;   0;   0.00;   0;eor
       4931;202503230940;    3;   0;   0.00;   0;eor
