STATIONS_ID;MESS_DATUM;QN_8;V_N_I; V_N;eor
       4931;2025032300;    3;   I;   8;eor
       4931;2025032301;    3;   I;   8;eor
       4931;2025032302;    3;   I;   8;eor
       4931;2025032303;    3;   I;   8;eor
       4931;2025032304;    3;   I;   7;eor
       4931;2025032305;    3;   I;   5;eor
       4931;2025032306;    3;   I;   8;eor
       4931;2025032307;    3;   I;   8;eor
       4931;2025032308;    3;   I;   6;eor
       4931;2025032309;    3;   I;   8;eor
       4931;2025032310;    3;   I;   8;eor
       4931;2025032311;    3;   I;   8;eor
       4931;2025032312;    3;   I;   8;eor
       4931;2025032313;    3;   I;   8;eor
       4931;2025032314;    3;   I;   8;eor
       4931;2025032315;    3;   I;   8;eor
       4931;2025032316;    3;   I;   8;eor
       4931;2025032317;    3;   I;   8;eor
       4931;2025032318;    3;   I;   8;eor
       4931;2025032319;    3;   I;   8;eor
       4931;2025032320;    3;   I;   8;eor
       4931;2025032321;    3;   I;   8;eor
       4931;2025032322;    3;   I;   8;eor
       4931;2025032323;    3;   I;   8;eor
       4931;2025032400;    3;   I;   8;eor
       4931;2025032401;    3;   I;   8;eor
       4931;2025032402;    3;   I;   8;eor
       4931;2025032403;    3;   I;   8;eor
       4931;2025032404;    3;   I;   8;eor
       4931;2025032405;    3;   I;   7;eor
       4931;2025032406;    3;   I;   8;eor
       4931;2025032407;    3;   I;   8;eor
       4931;2025032408;    3;   I;   8;eor
       4931;2025032409;    3;   I;   7;eor
       4931;2025032410;    3;   I;   7;eor
       4931;2025032411;    3;   I;  -1;eor
       4931;2025032412;    3;   I;   7;eor
       4931;2025032413;    3;   I;   8;eor
       4931;2025032414;    3;   I;   8;eor
       4931;2025032415;    3;   I;   7;eor
       4931;2025032416;    3;   I;   8;eor
       4931;2025032417;    3;   I;   8;eor
       4931;2025032418;    3;   I;   8;eor
       4931;2025032419;    3;   I;   8;eor
       4931;2025032420;    3;   I;   8;eor
       4931;2025032421;    3;   I;   8;eor
       4931;2025032422;    3;   I;   6;eor
       4931;2025032423;    3;   I;   8;eor
       4931;2025032500;    3;   I;   8;eor
       4931;2025032501;    3;   I;   8;eor
       4931;2025032502;    3;   I;   8;eor
       4931;2025032503;    3;   I;   8;eor
       4931;2025032504;    3;   I;   8;eor
       4931;2025032505;    3;   I;   8;eor
       4931;2025032506;    3;   I;   8;eor
       4931;2025032507;    3;   I;   8;eor
       4931;2025032508;    3;   I;   8;eor
       4931;2025032509;    3;   I;   8;eor
       4931;2025032510;    3;   I;   7;eor
       4931;2025032511;    3;   I;   7;eor
       4931;2025032512;    3;   I;   6;eor
       4931;2025032513;    3;   I;   1;eor
       4931;2025032514;    3;   I;   7;eor
       4931;2025032515;    3;   I;   8;eor
       4931;2025032516;    3;   I;   8;eor
       4931;2025032517;    3;   I;   7;eor
       4931;2025032518;    3;   I;   8;eor
       4931;2025032519;    3;   I;   8;eor
       4931;2025032520;    3;   I;   8;eor
       4931;2025032521;    3;   I;   8;eor
       4931;2025032522;    3;   I;   8;eor
       4931;2025032523;    3;   I;   8;eor
       4931;2025032600;    3;   I;   8;eor
       4931;2025032601;    3;   I;   8;eor
       4931;2025032602;    3;   I;   8;eor
       4931;2025032603;    3;   I;   8;eor
       4931;2025032604;    3;   I;   8;eor
       4931;2025032605;    3;   I;   5;eor
       4931;2025032606;    3;   I;   8;eor
       4931;2025032607;    3;   I;   8;eor
       4931;2025032608;    3;   I;   8;eor
       4931;2025032609;    3;   I;   7;eor
       4931;2025032610;    3;   I;   6;eor
       4931;2025032611;    3;   I;   8;eor
       4931;2025032612;    3;   I;   8;eor
       4931;2025032613;    3;   I;   8;eor
       4931;2025032614;    3;   I;   8;eor
       4931;2025032615;    3;   I;   8;eor
       4931;2025032616;    3;   I;   8;eor
       4931;2025032617;    3;   I;   8;eor
       4931;2025032618;    3;   I;   8;eor
       4931;2025032619;    3;   I;   8;eor
       4931;2025032620;    3;   I;   8;eor
       4931;2025032621;    3;   I;   8;eor
       4931;2025032622;    3;   I;   8;eor
       4931;2025032623;    3;   I;   8;eor
       4931;2025032700;    3;   I;   8;eor
       4931;2025032701;    3;   I;   8;eor
       4931;2025032702;    3;   I;   8;eor
       4931;2025032703;    3;   I;   8;eor
       4931;2025032704;    3;   I;   8;eor
       4931;2025032705;    3;   I;   8;eor
       4931;2025032706;    3;   I;   8;eor
       4931;2025032707;    3;   I;   8;eor
       4931;2025032708;    3;   I;   8;eor
       4931;2025032709;    3;   I;   7;eor
       4931;2025032710;    3;   I;   8;eor
       4931;2025032711;    3;   I;   8;eor
       4931;2025032712;    3;   I;   8;eor
       4931;2025032713;    3;   I;   8;eor
       4931;2025032714;    3;   I;   8;eor
       4931;2025032715;    3;   I;   4;eor
       4931;2025032716;    3;   I;   4;eor
       4931;2025032717;    3;   I;   0;eor
       4931;2025032718;    3;   I;   0;eor
       4931;2025032719;    3;   I;   0;eor
       4931;2025032720;    3;   I;   0;eor
       4931;2025032721;    3;   I;   0;eor
       4931;2025032722;    3;   I;   0;eor
       4931;2025032723;    3;   I;   0;eor
       4931;2025032800;    3;   I;   0;eor
       4931;2025032801;    3;   I;   0;eor
       4931;2025032802;    3;   I;   0;eor
       4931;2025032803;    3;   I;   0;eor
       4931;2025032804;    3;   I;   0;eor
       4931;2025032805;    3;   I;   0;eor
       4931;2025032806;    3;   I;   0;eor
       4931;2025032807;    3;   I;   0;eor
       4931;2025032808;    3;   I;   0;eor
       4931;2025032809;    3;   I;   0;eor
       4931;2025032810;    3;   I;   0;eor
       4931;2025032811;    3;   I;   3;eor
       4931;2025032812;    3;   I;   0;eor
       4931;2025032813;    3;   I;   0;eor
       4931;2025032814;    3;   I;   5;eor
       4931;2025032815;    3;   I;   7;eor
       4931;2025032816;    3;   I;   8;eor
       4931;2025032817;    3;   I;   8;eor
       4931;2025032818;    3;   I;   8;eor
       4931;2025032819;    3;   I;   8;eor
       4931;2025032820;    3;   I;   7;eor
       4931;2025032821;    3;   I;   8;eor
       4931;2025032822;    3;   I;   8;eor
       4931;2025032823;    3;   I;   8;eor
       4931;2025032900;    3;   I;   8;eor
       4931;2025032901;    3;   I;   8;eor
       4931;2025032902;    3;   I;   8;eor
       4931;2025032903;    3;   I;   8;eor
       4931;2025032904;    3;   I;   8;eor
       4931;2025032905;    3;   I;   7;eor
       4931;2025032906;    3;   I;   7;eor
       4931;2025032907;    3;   I;   7;eor
       4931;2025032908;    3;   I;   6;eor
       4931;2025032909;    3;   I;   8;eor
       4931;2025032910;    3;   I;   8;eor
       4931;2025032911;    3;   I;   8;eor
       4931;2025032912;    3;   I;   8;eor
       4931;2025032913;    3;   I;   8;eor
       4931;2025032914;    3;   I;   7;eor
       4931;2025032915;    3;   I;   8;eor
       4931;2025032916;    3;   I;   6;eor
       4931;2025032917;    3;   I;   8;eor
       4931;2025032918;    3;   I;   8;eor
       4931;2025032919;    3;   I;   7;eor
       4931;2025032920;    3;   I;   3;eor
       4931;2025032921;    3;   I;   0;eor
       4931;2025032922;    3;   I;   1;eor
       4931;2025032923;    3;   I;   0;eor
       4931;2025033000;    3;   I;   0;eor
       4931;2025033001;    3;   I;   1;eor
       4931;2025033002;    3;   I;   1;eor
       4931;2025033003;    3;   I;   3;eor
       4931;2025033004;    3;   I;   7;eor
       4931;2025033005;    3;   I;   4;eor
       4931;2025033006;    3;   I;   7;eor
       4931;2025033007;    3;   I;   7;eor
       4931;2025033008;    3;   I;   7;eor
       4931;2025033009;    3;   I;   8;eor
       4931;2025033010;    3;   I;   6;eor
       4931;2025033011;    3;   I;   8;eor
